BuyerID,name_Firstname,name_Lastname,ContactDetail_Phone,ContactDetail_Email
B01,John,Doe,312987435,johndoe@gmail.com
B02,Alice,Smith,574333290,alicesmith@gmail.com
B03,Samantha,Lee,4759802178,samanthalee@gmail.com
B04,Jack,Daniels,3423876102,jackdaniels@gmail.com
B05,Daniel,Johnston,3854448976,danieljohnston@gmail.com
B06,Alex,Clinton,1209874567,alexclinton@gmail.com
B07,Lina,Karr,8837746325,linakarr@gmail.com
B08,Sierra,Mathison,2038462039,sierramathison@gmail.com
B09,Stan,Keen,2203395740,stankeen@gmail.com
B10,Anna,Garcia,3103219823,annagarcia@gmail.com
B11,William,Moore,3098723126,williammoore@gmail.com
B12,Victoria,Boone,3098463102,victoriaboone@gmail.com
B13,Samuel,Neuman,1230964309,samuelneuman@gmail.com
B14,Manuel,Santos,4649106767,manuelsantos@gmail.com
B15,Arnold,Edgar,3098731204,arnoldedgar@gmail.com
